드라마 제목,남배우,여배우,남배우 수,여배우 수
인간수업,"김동희, 남윤수","정다빈, 박주현",2,2
킹덤,"주지훈, 류승룡",배두나,2,1
스위트홈,"송강, 이도현","이시영, 고민시",2,2
오징어 게임,"이정재, 박해수",정호연,2,1
붉은 단심,"이준, 장혁",강한나,2,1
살인자의 쇼핑목록,이광수,설현,1,1
이태원 클라스,"박서준, 안보현","김다미, 권나라",2,2
사내맞선,"안효섭, 김민규","김세정, 설인아",2,2
스물다섯 스물하나,"남주혁, 최현욱","김태리, 보나",2,2
기상청 사람들,"송강, 윤박","박민영, 유라",2,2
그 해 우리는,"최우식, 김성철","김다미, 노정의",2,2
옷소매 붉은 끝동,"이준호, 강훈",이세영,2,1
빈센조,"송중기, 옥택연, 곽동연",전여빈,3,1
원 더 우먼,이상윤,"이하늬, 진서연",1,2
갯마을 차차차,"김선호, 이상이",신민아,2,1
슬기로운 의사생활,"조정석, 유연석, 정경호, 김대명","전미도, 신현빈",4,2
모범택시,이제훈,"이솜, 표예진",1,2
철인왕후,"김정현, 나인우","신혜선, 설인아",2,2
경이로운 소문,조병규,김세정,1,1
태양의 후예,"송중기, 진구","송혜교, 김지원",2,2
지금 우리 학교는,"박지후, 조이현, 이유미","윤찬영, 로몬",3,2
지옥,"유아인, 박정미","김현주, 원진아",2,2
도깨비,"공유, 이동욱, 육성재","김고은, 유인나",3,2
너에게 가는 속도 493km,"채종협, 김무준","박주현, 박지현, 서지혜",2,3
비밀의집,서하준,이영은,1,1
어게인 마이 라이프,"이준기, 정상훈","김지은, 차주영, 김재경, 홍비라",2,4
사랑의 불시착,"현빈, 김정현","손예진, 서지혜",2,2
악의 꽃,이준기,"문채원, 장희진",1,2
무법 변호사,이준기,서예지,1,1
크리미널마인드,"손현주, 이준기","문채원, 이선빈, 임수향",2,3
미스터선샤인,"이병헌, 유연석, 변요한","김태리, 김민정",3,2
군검사 도베르만,"안보현, 김영민, 김우석, 강영석","조보아, 오연수",4,2
"지금부터, 쇼타임!",박해진,"진기주, 박서연, 장하은",1,3
검은태양,남궁민,"박하선,김지은",1,2
동백꽃 필 무렵,"강하늘, 김지석","공효진, 손담비",2,2
닥터 프리즈너,"남궁민, 박은석","권나라, 이다인",2,2
김과장,"남궁민, 이준호","남상미, 정혜성",2,2
김비서가 왜 그럴까,"박서준, 강기영","박민영, 표예진, 황보라",2,3
멜로가체질,"안재홍, 공명","천우희, 전여빈",2,2
호텔 델루나,"여진구, 조현철, 표지훈","이지은, 박유나, 강미나",3,3
"쌈, 마이웨이","박서준, 안재홍, 최우식","김지원, 송하윤, 이엘리야",3,3
내일,"이수혁, 로운",김희선,2,1
나의 아저씨,"이선균, 장기용","이지은, 이지아",2,2
달의 연인 보보경심 려,"이준기, 홍종현, 백현",이지은,3,1
아테나 : 전쟁의 여신,"정우성, 차승원, 김민종, 최시원, 김승우","수애, 이지아, 이보영",5,3
힐러,"지창욱, 유지태","박민영, 우희진",2,2
닥터스,"김래원, 윤균상","박신혜, 이성경",2,2
편의점 샛별이,지창욱,"김유정, 한선화",1,2
술꾼도시여자들,시원,"이선빈, 한선화, 정은지",1,3
THE K2,지창욱,"송윤아, 임윤아",1,2
DP,"정해인, 구교환",원지안,2,1
우리들의 블루스,"이병헌, 차승원, 김우빈","신민아, 한지민",3,2
나의 해방일지,"이민기, 손석구","김지원, 이엘",2,2
안나라수마나라,"지창욱, 황인엽",최성은,2,1
뷰티인사이드,"이민기, 안재현, 이태리","서현진, 이다희",3,2
별에서 온 그대,"김수현, 박해진, 신성록","전지현, 유인나",3,2
라이브,"이광수, 이시언",정유미,2,1
소년심판,김무열,김혜수,1,1
SKY 캐슬,"찬희, 조병규","김보라, 김혜윤, 박유나",2,3
,,,122,113